area_code,pref,region_code
1000,北海道,C0101
2000,青森県,C0102
3000,岩手県,C0102
4000,宮城県,C0102
5000,秋田県,C0102
6000,山形県,C0102
7000,福島県,C0102
8000,茨城県,C0103
9000,栃木県,C0103
10000,群馬県,C0103
11000,埼玉県,C0103
12000,千葉県,C0103
13000,東京都,C0103
14000,神奈川県,C0103
15000,新潟県,C0104
16000,富山県,C0104
17000,石川県,C0104
18000,福井県,C0104
19000,山梨県,C0105
20000,長野県,C0105
21000,岐阜県,C0105
22000,静岡県,C0105
23000,愛知県,C0105
24000,三重県,C0106
25000,滋賀県,C0106
26000,京都府,C0106
27000,大阪府,C0106
28000,兵庫県,C0106
29000,奈良県,C0106
30000,和歌山県,C0106
31000,鳥取県,C0107
32000,島根県,C0107
33000,岡山県,C0107
34000,広島県,C0107
35000,山口県,C0107
36000,徳島県,C0108
37000,香川県,C0108
38000,愛媛県,C0108
39000,高知県,C0108
40000,福岡県,C0109
41000,佐賀県,C0109
42000,長崎県,C0109
43000,熊本県,C0109
44000,大分県,C0109
45000,宮崎県,C0109
46000,鹿児島県,C0109
47000,沖縄県,C0110
